t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,vision_has_good,vision_has_bad,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,shovel_state,shovel_active,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
1.378,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,754.0,1008.0,1073.0,982.0,359.0,1026.0
1.399,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,754.0,1007.0,1071.0,981.0,225.0,1024.0
1.419,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,749.0,1004.0,1067.0,976.0,358.0,1093.0
1.439,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,749.0,1002.0,1067.0,977.0,524.0,1026.0
1.459,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,749.0,1003.0,1067.0,977.0,360.0,1026.0
1.479,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,748.0,1003.0,1066.0,976.0,752.0,1027.0
1.499,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,748.0,1002.0,1066.0,976.0,142.0,1025.0
1.52,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,749.0,1001.0,1068.0,977.0,360.0,1025.0
1.54,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,749.0,1001.0,1068.0,977.0,360.0,1025.0
1.56,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,745.0,997.0,1062.0,971.0,927.0,1025.0
1.58,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,745.0,998.0,1062.0,972.0,93.0,1025.0
1.6,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,745.0,998.0,1062.0,972.0,360.0,1026.0
1.62,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,741.0,994.0,1059.0,969.0,392.0,1031.0
1.64,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,741.0,993.0,1057.0,968.0,357.0,1024.0
1.661,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,995.0,1059.0,969.0,357.0,1026.0
1.681,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,996.0,1060.0,970.0,230.0,1026.0
1.701,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,996.0,1061.0,971.0,734.0,1026.0
1.721,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,744.0,996.0,1061.0,971.0,556.0,1026.0
1.741,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,995.0,1060.0,970.0,390.0,1027.0
1.761,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,997.0,1060.0,970.0,359.0,1024.0
1.781,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,744.0,996.0,1062.0,972.0,371.0,1024.0
1.801,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,745.0,998.0,1063.0,972.0,375.0,1027.0
1.821,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,745.0,999.0,1063.0,973.0,391.0,1026.0
1.841,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,742.0,995.0,1059.0,970.0,360.0,1102.0
1.862,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,996.0,1060.0,970.0,557.0,1024.0
1.882,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,996.0,1060.0,970.0,557.0,1024.0
1.902,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,745.0,999.0,1063.0,973.0,359.0,1026.0
1.922,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,746.0,1001.0,1064.0,976.0,229.0,1025.0
1.942,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,742.0,994.0,1059.0,969.0,359.0,1058.0
1.962,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,741.0,993.0,1057.0,967.0,359.0,1024.0
1.982,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,996.0,1060.0,970.0,686.0,1028.0
2.002,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,742.0,995.0,1059.0,970.0,604.0,1027.0
2.023,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,744.0,998.0,1062.0,972.0,93.0,1035.0
2.043,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,995.0,1060.0,970.0,359.0,1024.0
2.063,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,745.0,1000.0,1062.0,973.0,376.0,1026.0
2.083,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,996.0,1060.0,971.0,92.0,1025.0
2.103,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,744.0,998.0,1062.0,973.0,358.0,1024.0
