t,left,right,diff,valid
8.286,17.0,20.0,-3.0,1
8.306,233.0,19.0,214.0,1
8.326,338.0,20.0,318.0,1
8.346,183.0,20.0,163.0,1
8.367,18.0,21.0,-3.0,1
8.387,298.0,20.0,278.0,1
8.407,16.0,20.0,-4.0,1
8.427,297.0,20.0,277.0,1
8.447,346.0,34.0,312.0,1
8.467,134.0,28.0,106.0,1
8.487,100.0,20.0,80.0,1
8.507,260.0,21.0,239.0,1
8.527,99.0,20.0,79.0,1
8.548,281.0,20.0,261.0,1
8.568,83.0,20.0,63.0,1
8.588,151.0,20.0,131.0,1
8.608,68.0,20.0,48.0,1
8.628,17.0,21.0,-4.0,1
8.648,395.0,20.0,375.0,1
8.668,265.0,20.0,245.0,1
8.688,174.0,20.0,154.0,1
8.708,17.0,22.0,-5.0,1
8.728,17.0,20.0,-3.0,1
8.749,183.0,21.0,162.0,1
8.769,32.0,32.0,0.0,1
8.789,220.0,21.0,199.0,1
8.809,101.0,20.0,81.0,1
8.829,26.0,21.0,5.0,1
8.849,24.0,21.0,3.0,1
8.869,150.0,20.0,130.0,1
8.889,17.0,20.0,-3.0,1
8.909,250.0,20.0,230.0,1
8.929,68.0,21.0,47.0,1
8.95,34.0,20.0,14.0,1
8.97,149.0,21.0,128.0,1
8.99,69.0,21.0,48.0,1
9.01,150.0,20.0,130.0,1
9.03,101.0,21.0,80.0,1
9.05,41.0,20.0,21.0,1
9.07,41.0,21.0,20.0,1
9.09,52.0,30.0,22.0,1
9.11,117.0,33.0,84.0,1
9.131,249.0,28.0,221.0,1
9.151,82.0,20.0,62.0,1
9.171,101.0,20.0,81.0,1
9.191,134.0,20.0,114.0,1
9.211,21.0,21.0,0.0,1
9.231,116.0,20.0,96.0,1
9.251,17.0,20.0,-3.0,1
9.271,16.0,21.0,-5.0,1
9.291,101.0,20.0,81.0,1
9.311,322.0,20.0,302.0,1
9.332,132.0,21.0,111.0,1
9.352,85.0,20.0,65.0,1
9.372,117.0,20.0,97.0,1
9.392,16.0,20.0,-4.0,1
9.412,117.0,23.0,94.0,1
9.432,134.0,33.0,101.0,1
9.452,134.0,29.0,105.0,1
9.472,158.0,21.0,137.0,1
9.492,133.0,21.0,112.0,1
